University_link,University_Name,Location,T.H.E.R (2018),Top.U.R(2018),U.S. News & World Report.R(2018)
https://www.mastersportal.com/universities/13111/shandong-university.html,Shandong University,"Jinan, China",-,351,-
https://www.mastersportal.com/universities/10751/shanghai-university.html,Shanghai University,"Shanghai, China",-,201,179
https://www.mastersportal.com/universities/13113/sichuan-university.html,Sichuan University,"Chengdu, China",-,-,168
https://www.mastersportal.com/universities/13947/southwest-jiaotong-university.html,Southwest Jiaotong University,"Chengdu, China",-,-,179
https://www.mastersportal.com/universities/10325/imt-atlantique-graduate-engineering-school.html,IMT Atlantique - Graduate Engineering School,"Nantes, France",-,-,-
,Telecom ParisTech,"Palaiseau, France",-,201,-
https://www.mastersportal.com/universities/66/telecom-sudparis.html,Telecom SudParis,"Paris, France",-,-,-
https://www.mastersportal.com/universities/17212/thapar-institute-of-engineering-and-technology.html,Thapar Institute of Engineering and Technology,"Basi, India",-,-,-
https://www.mastersportal.com/universities/12168/the-university-of-texas-at-arlington.html,The University of Texas at Arlington,"Arlington, United States",-,-,-
https://www.mastersportal.com/universities/17226/tianjin-university.html,Tianjin University,"Tianjin, China",-,-,197
https://www.mastersportal.com/universities/578/universit-grenoble-alpes.html,Université Grenoble Alpes,"Grenoble, France",-,251,174
https://www.mastersportal.com/universities/11788/university-of-california-san-francisco.html,"University of California, San Francisco","San Francisco, United States",-,-,-
https://www.mastersportal.com/universities/12214/unicamp-university-of-campinas.html,UNICAMP - University of Campinas,"Campinas, Brazil",-,51,190
https://www.mastersportal.com/universities/939/university-of-florence.html,University of Florence,"Florence, Italy",-,401,-
https://www.mastersportal.com/universities/29/university-of-ljubljana.html,University of Ljubljana,"Ljubljana, Slovenia",-,451,-
https://www.mastersportal.com/universities/12328/university-of-manitoba.html,University of Manitoba,"Winnipeg, Canada",-,-,-
https://www.mastersportal.com/universities/417/university-of-maribor.html,University of Maribor,"Maribor, Slovenia",-,-,-
https://www.mastersportal.com/universities/1326/the-university-of-milan.html,The University of Milan,"Sesto San Giovanni, Italy",-,101,-
https://www.mastersportal.com/universities/1496/university-of-modena-and-reggio-emilia-unimore.html,University of Modena and Reggio Emilia - UNIMORE,"Modena, Italy",-,-,-
https://www.mastersportal.com/universities/1879/university-of-montpellier.html,University of Montpellier,"Montpellier, France",-,451,-
https://www.mastersportal.com/universities/332/university-of-naples-federico-ii.html,University of Naples Federico II,"Naples, Italy",-,251,-
https://www.mastersportal.com/universities/902/tor-vergata-university-of-rome.html,Tor Vergata University of Rome,"Roma, Italy",-,301,-
https://www.mastersportal.com/universities/1391/university-of-seville.html,University of Seville,"Sevilla, Spain",-,351,-
https://www.mastersportal.com/universities/14519/university-of-tehran-kish-international-campus.html,"University of Tehran, Kish International Campus","Kish, Iran",-,-,149
https://www.mastersportal.com/universities/627/university-of-zaragoza.html,University of Zaragoza,"Delicias, Spain",-,-,-
https://www.mastersportal.com/universities/75/vrije-universiteit-brussel.html,Vrije Universiteit Brussel (VUB),"Brussels, Belgium",-,251,-
